keyword,category,estimated_cpc,search_intent,status,published_date,post_slug
2026년 65세 이상 혜택 총정리 50가지: 의료비 교통 통신비 놓치지 않는 법,정부지원금 & 복지,3.20,복지/정보,published,2026-09-03,2026-09-03-senior-welfare-benefits-guide
2026년 기초연금 수급자격 및 소득인정액 모의계산: 단독가구 부부가구 지급액 기준,정부지원금 & 복지,3.50,연금/수급자격,published,2026-09-03,2026-09-03-basic-pension-calculation-eligibility
국민연금 조기수령 vs 연기수령 손익 분석: 몇 살에 받는 것이 가장 유리할까,연금 & 절세 상식,3.80,연금/금융,published,2026-09-03,2026-09-03-national-pension-early-vs-delayed
6070 무릎 관절염 예방 및 통증 완화 운동법: 국가 인공관절 수술비 지원 조건,시니어 건강 & 일상,2.90,건강/의료비,published,2026-09-03,2026-09-03-senior-knee-joint-health-tips
내 집으로 평생 월급 받는 주택연금 가입 조건과 장단점 총정리,연금 & 절세 상식,4.20,부동산/연금,published,2026-09-04,2026-09-04-passive-income-3411
치과 임플란트 2개 건강보험 적용 조건과 틀니 본인부담금 30% 혜택,정부지원금 & 복지,3.90,치과/의료비,published,2026-09-04,2026-09-04-2-30
노인장기요양보험 등급 판정 기준 및 요양보호사 지원 신청 가이드,정부지원금 & 복지,3.10,돌봄/복지,published,2026-09-05,2026-09-05-2026
자녀에게 1억 합법적 무신고 증여 공제 한도와 차용증 작성법,연금 & 절세 상식,4.50,상속/절세,published,2026-09-05,2026-09-05-1
퇴직 후 건강보험료 폭탄 피하는 피부양자 자격 유지 비법 3가지,연금 & 절세 상식,3.60,건보료/세무,published,2026-09-05,2026-09-05-3
고혈압 당뇨 환자가 절대 함께 먹으면 안 되는 영양제 및 음식 궁합,시니어 건강 & 일상,2.80,건강/질환,published,2026-09-06,2026-09-06-5
백내장 노안 수술 건강보험 지원 범위와 다초점 렌즈 실손보험 주의사항,시니어 건강 & 일상,3.40,안과/실손,published,2026-09-06,2026-09-06-passive-income-2084
2026 노인일자리 공공형 사회서비스형 신청 자격 및 월 급여 안내,정부지원금 & 복지,2.70,일자리/정부지원,published,2026-09-06,2026-09-06-2026
상속세 면제 한도와 10년 합산 과세 피하는 사전 증여 황금 법칙,연금 & 절세 상식,4.80,상속세/절세,published,2026-09-06,2026-09-06-10
대상포진 무료 예방접종 지정 지자체 및 고위험군 폐렴구균 주사 혜택,시니어 건강 & 일상,2.60,예방접종/병원,published,2026-09-06,2026-09-06-2026-65-50
에너지바우처 지원 대상 조회와 겨울철 난방비 전기요금 감면 신청,정부지원금 & 복지,2.50,지원금/공과금,published,2026-09-06,2026-09-06-passive-income-9675
시니어 실버타운 입주 비용과 보증금 보호되는 도심형 실버타운 TOP 5,연금 & 절세 상식,3.90,주거/실버타운,published,2026-09-07,2026-09-07-top-5
치매 초기 증상 5가지 자가진단표와 보건소 치매안심센터 무료 검진,시니어 건강 & 일상,3.10,치매예방/의료,published,2026-09-07,2026-09-07-5
국민연금 수령 중 재취업 시 연금 감액 기준과 소득 하한선 계산법,연금 & 절세 상식,3.70,연금/일자리,ready,,
어르신 보청기 국가보조금 최대 131만원 지원 대상과 이비인후과 청력검사,시니어 건강 & 일상,3.50,보청기/지원금,ready,,
65세 이상 통신비 월 12100원 자동 감면 신청 방법과 알뜰폰 유의점,정부지원금 & 복지,2.90,통신비/할인,ready,,
기초연금 100% 다 받는 합법적 재산 분할과 증여 신고 시 주의점,연금 & 절세 상식,4.20,연금/절세,ready,,
2026 노인 무릎 인공관절 수술비 국가지원 신청 자격과 병원 목록,정부지원금 & 복지,3.60,의료비지원/관절,ready,,
은퇴 후 지역가입자 건보료 부담 줄여주는 임의계속가입 신청 기한,연금 & 절세 상식,3.80,건강보험/은퇴,ready,,
시니어 대상포진 신경통 후유증 줄이는 초기 골든타임 대처법,시니어 건강 & 일상,2.90,질환/골든타임,ready,,
고령자 복지주택 입주 자격과 전국 공급 일정 및 보증금 혜택,정부지원금 & 복지,3.40,시니어주거/LH임대,ready,,
60세 이상 재취업 고용촉진장려금과 신중년 적합직무 지원금 안내,정부지원금 & 복지,2.80,일자리/장려금,ready,,
부모님 요양병원 vs 요양원 차이점과 본인부담금 간병비 비용 비교,시니어 건강 & 일상,3.90,요양시설/간병비,ready,,
상속세 없는 부모 자식 간 금전 거래 차용증 양식과 법정 이자율 4.6%,연금 & 절세 상식,4.60,상속/차용증,ready,,
어르신 시니어 파크골프 입문 가이드와 전국 파크골프장 예약 노하우,시니어 건강 & 일상,2.40,취미/운동,ready,,
고령자 운전면허 자진반납 혜택과 지자체별 교통카드 지원금 신청,정부지원금 & 복지,2.50,교통지원/면허반납,ready,,
당뇨 망막병증과 황반변성 조기 발견 안과 무료 검진 지원 사업,시니어 건강 & 일상,3.30,안과질환/정부지원,ready,,
은퇴 부부를 위한 주택연금 vs 농지연금 월 수령액 및 혜택 비교,연금 & 절세 상식,4.10,은퇴자금/부동산연금,ready,,
독거 어르신 응급안전안심서비스 무료 설치 대상과 IoT 비상벨,정부지원금 & 복지,2.70,안전돌봄/IoT,ready,,
국민연금 추후납부(추납) 제도로 은퇴 후 연금 수령액 2배 늘리기,연금 & 절세 상식,3.75,국민연금/재테크,ready,,
6070 근감소증 예방을 위한 하루 단백질 섭취량과 맞춤 식단표,시니어 건강 & 일상,2.85,영양/건강식,ready,,
어르신 임플란트 실패 시 재수술 비용 지원 및 평생 관리 수칙,시니어 건강 & 일상,3.70,치과/임플란트,ready,,
치매 국가책임제 혜택 총정리: 실종 예방 배회감지기와 조기검진,정부지원금 & 복지,3.10,치매돌봄/의료,ready,,
시니어 단기 알바 실버안전지킴이 아동안전지킴이 월급과 지원 방법,정부지원금 & 복지,2.60,시니어일자리/공공,ready,,
사망 후 상속재산 안심상속 원스톱 서비스 신청 절차와 필요 서류,연금 & 절세 상식,4.40,행정/상속정리,ready,,
노년기 불면증 약 없이 극복하는 수면 위생 수칙 7가지,시니어 건강 & 일상,2.65,수면/건강관리,ready,,
